name,nickname,distribution,origin,size,function,groups,height,weight,life_age,price
丝毛梗,丝毛梗,德国，波美拉尼亚地区,德国,小型犬,玩具犬,玩具犬,22-23cm,4-5kg,14-15 years,2000-25000
迷你杜宾犬,鹿犬,德国,德国,小型犬,玩具犬,玩具犬,25-30cm,3-5kg,14-15 years,1000-4000
川东猎犬,重庆犬，又称邻水狗,中国,四川东部、川渝交界处,中型犬,护卫犬,护卫犬,35-50厘米,15-25公斤,10-14年,1000-5000
边境牧羊犬,边牧,苏格兰,苏格兰边境,中型犬,牧羊犬,牧羊犬，工作犬,48-56cm,14-20kg,10-14 years,500-6600
查理王小猎犬,查理王小猎犬，英国玩具猎...,中国、日本,中国或日本,小型犬,玩具犬,玩具犬,31-33厘米,5-8公斤,10-12年,1500-5000
粗毛柯利犬,苏格兰柯利犬,英国,苏格兰,大型犬,牧羊犬,牧羊犬,51-61厘米,18-30公斤,12-13年,800-4000
伯恩山犬,伯尼尔森嫩猎犬、伯尼塞牧...,瑞士,瑞士,大型犬,牧羊犬,工作犬，牧羊犬,58-70cm,40-44kg,9-12 years,2000起
比特犬,美国比特犬，比特斗牛犬,美国,美国,中型犬,狩猎犬,狩猎犬，工作犬,35-45cm,13-26kg,10-15years,8000左右
波音达猎犬,波音达猎犬,英国,英国,大型犬,枪猎犬,工作犬,60-65cm,27-32kg,12-13 years,1000-30000
中亚牧羊犬,中亚猎狼犬、亚洲猎狼犬,俄罗斯,俄罗斯及中亚诸共和国,大型犬,家庭犬,家庭伴侣犬,60－71厘米,37－50千克,9－11年,2000起
博美犬,松鼠犬/波美拉尼亚犬,德国,德国,小型犬,玩具犬,看守犬和伴侣犬,22-28cm,2-3kg,14-15 years,800-8000
贝灵顿梗,罗丝贝林梗,英国,英国,中型犬,梗类犬,梗犬,38-43厘米,8-10公斤,14-15年,2000元以上
银狐犬,日本丝（绒）毛犬、日本尖...,日本,日本,小型犬,家庭犬,家庭犬,30-38厘米,6.4-10千克,11-12年,1000-1500
中国冠毛犬,中国无毛犬、半毛犬、中国...,英国、美国、中国,中国,小型犬,"伴侣犬,玩具犬",玩具犬,23-33厘米,2-5公斤,14-15年,1500-15000
藏獒,西藏獒、獒犬、番狗、龙狗,中国,中国青藏高原,大型犬,"工作犬,护卫犬",工作犬，护卫犬，猛犬,61-71厘米,64-82公斤,10-16年,500-10000
约克夏梗,约克郡梗、约瑟犬、约瑟猩,英国,英国东北部约克郡,小型犬,"伴侣犬,玩具犬",玩具犬,22-23厘米,2-3公斤,13-14 years,4000--7000
柴犬,doge,日本,日本,中型犬,家庭犬,家庭伴侣犬,35-41cm,8-10kg,10-15 years,500-10000
巴哥犬,八哥犬/哈巴狗,中国内地,中国,小型犬,"伴侣犬,玩具犬",伴侣犬、守门犬,25-28厘米,6-8公斤,13-14年,1200-3000
英国猎狐犬,猎狐犬,英国,英国,大型犬,狩猎犬,工作犬,58-69厘米,25-34公斤,10年-12年,1000-5000
英国斗牛犬,老虎狗、牛头犬,英国、美国,英国,中型犬,"伴侣犬,家庭犬,护卫犬",伴侣犬、家庭犬,51-64厘米,29-48公斤,12-15岁,1000-9000元
英国可卡犬,确架獚、英国斗鸡犬、英国...,英国,英国,中型犬,枪猎犬,工作犬,38-41cm,13-15kg,12-15 years,300-3500
伊比赞猎犬,伊比赞猎犬,法国,巴利阿里群岛,中型犬,狩猎犬,狩猎犬,59-70cm,18-22kg,18-22years,几百到上千不等
意大利灰狗,意大利灵缇，意大利灵缇,意大利,意大利,小型犬,家庭犬,家庭犬,33-38厘米,3-4公斤,10-12年,3500左右
小鹿犬,鹿犬,德国,德国,小型犬,玩具犬,玩具犬,25-30cm,3-5kg,10-15years,1300-8000
喜乐蒂牧羊犬,设得兰群岛牧羊犬、谢德兰...,英国,苏格兰,中型犬,牧羊犬,牧羊犬,33-40厘米,6-12公斤,13-14年,1500-10000
寻血猎犬,圣•休伯特猎犬,比利时,比利时,大型犬,狩猎犬,工作犬,58-69cm,40-50kg,13-14年,3000-10000
西里汉梗,西里汉梗,英国,英国,小型犬,梗类犬,梗犬,25-30厘米,8-9公斤,12-16年,500-2200
巨型雪纳瑞,大型雪纳瑞,德国,德国,大型犬,工作犬,工作犬，家庭犬,60-70cm,34-43kg,10-12年,1000-3000
下司犬,下司犬,贵州省，云贵高原苗岭山系的雷公山区,贵州,中型犬,"工作犬,家庭犬",工作犬，狩猎犬,45-55cm,20-25kg,10-14 years,2000起
西班牙斗牛梗,伯里沙·马罗奎因犬,巴利阿里群岛,巴利阿里群岛,大型犬,护卫犬,护卫犬，猛犬,58-61厘米,55-68公斤,9-11年,8000以上
雪纳瑞犬,雪纳瑞/标准雪纳瑞,德国,德国,中型犬,梗类犬,伴侣犬，家庭犬,44-49cm,23-25kg,13-15years,500-3000
西班牙小猎犬,克伦伯猎鹬犬,西班牙,西班牙,中型犬,枪猎犬,枪猎犬,48-51厘米,29-36公斤,10-12年,10000左右
新斯科舍猎鸭寻猎犬,新斯科舍诱鸭寻回犬,加拿大,加拿大南部的新苏格兰半岛,中型犬,枪猎犬,工作犬,43-53厘米,17-23公斤,10-12年,1000-3000
西藏猎犬,袖狗,中国,中国西藏,小型犬,家庭犬,家庭犬,24-25厘米,4-7公斤,13-14年,500-3000
迷你雪纳瑞犬,"小型雪纳瑞犬,迷你雪娜瑞",德国，美国和加拿大,德国,小型犬,玩具犬,玩具犬,30-39cm,6-9kg,13-16years,1500-3000
西高地白梗,西高地铁利亚、西高地白梗,英国,英国,小型犬,梗类犬,梗犬,25-28厘米,7-10公斤,13-14年,1000起
威玛猎犬,威玛犬，德国魏玛犬，魏玛...,德国,德国,中型犬,枪猎犬,枪猎犬,56-69厘米,32-39公斤,10-12年,3500元
西施犬,狮子犬 、菊花狗,欧美、日本,中国西藏,小型犬,"伴侣犬,玩具犬,家庭犬",玩赏犬,25-27厘米,5-7公斤,12-14年,9000
西帕基犬,舒柏奇犬,比利时,比利时,小型犬,玩具犬,玩赏犬,25.5—30.5cm,5.4—7.3kg,14-16 years,1000-4000
万能梗,梗王、河畔犬、宾格利犬、...,英国,大不列颠,中型犬,梗类犬,梗犬,56-61厘米,20-23公斤,10-12年,5000-10000
细犬,中国细犬、细狗,中国,中国山东,中型犬,狩猎犬,狩猎犬，工作犬,50厘米以上,20-30公斤,9-11年,1000-1500
维希拉猎犬,匈牙利维兹拉犬、捷玛格雅...,匈牙利,匈牙利,大型犬,枪猎犬,枪猎犬，工作犬,57-64cm,22-30kg,13-14年,3500元左右
威尔士柯基犬,"柯基,柯基犬",英国,英国,小型犬,家庭犬,家庭犬,25－30cm,10－12kg,12-14years,5000左右
短毛猎狐梗,平毛猎狐梗、顺毛猎狐梗,英美,英国,小型犬,梗类犬,梗犬,38-39厘米,7-8公斤,13-14年,2500-15000
玩具曼彻斯特犬,曼彻斯特梗、玩具曼彻斯特...,英国,英国,小型犬,,玩具犬,20-30厘米,3-4公斤,14-16年,1000-5000
贵宾犬,贵宾犬,"德国,法国",德国,小型犬,"伴侣犬,玩具犬",玩具犬,20-38厘米,4-8公斤,10-15年,1200-1500
威尔士梗,威尔士爹利（香港）,英国,英国,小型犬,梗类犬,梗犬,36-39厘米,9-10公斤,10-12年,3500-4000
威尔士跳猎犬,威尔士史宾格猎犬,英国,英国威尔士,中型犬,枪猎犬,工作犬,46-48厘米,16-20公斤,12-15年,3000
田野小猎犬,野獚,英国,英国,中型犬,枪猎犬,工作犬,大约45厘米,18-25公斤,10-12年,5000-30000
西藏梗,西藏梗犬，杜克阿普索犬，...,中国,中国 (西藏自治区),中型犬,家庭犬,梗犬,36-45cm,8-15kg,12-15years,1000-3000
比利时牧羊犬,比利时牧羊犬,比利时,比利时,大型犬,牧羊犬,牧羊犬，工作犬,56-66cm,27-34kg,14-15 years,3000-6000
泰迪犬,贵妇犬/泰迪犬,"德国,法国",法国,小型犬,"伴侣犬,玩具犬,家庭犬",玩具犬,20—38cm,4-8kg,13-19 years,1000-3000
玩具猎狐梗,玩具猎狐梗,美国,美国,小型犬,梗类犬,梗犬,21-29cm,5-8kg,8-12years,1800-3000
松狮犬,巧巧犬、獢獢、黑嘴狗、松...,主要分布在气候偏冷地带,中国,中型犬,"伴侣犬,家庭犬",伴侣犬,46-56厘米,20-32公斤,11-12年,500-3000元
土佐犬,土佐斗犬,日本,日本,大型犬,工作犬,工作犬,62-68cm,45-90kg,9-10年,1500以上
苏格兰牧羊犬,柯利犬，柯利牧羊犬，苏牧,英国,英国,大型犬,"牧羊犬,军犬",工作犬,56-66cm,23-34kg,14-16 years,1500起
萨路基猎犬,阿拉伯猎犬、猎羚犬、波斯...,伊朗,中东地区的伊朗,大型犬,狩猎犬,狩猎犬，工作犬,58-71厘米,20—30公斤,11-13年,1000-5000
苏俄牧羊犬,俄国灵缇、俄罗斯猎狼犬,俄罗斯,俄罗斯,,,工作犬,69-79cm,35-48kg,11-13 years,2000~10000
苏格兰猎鹿犬,猎鹿犬,苏格兰,苏格兰,大型犬,狩猎犬,工作犬,76-81厘米,34-50千克,11-12年,200-1200
山地犬,恩特雷布赫牧牛犬、英特布...,美国,美国,中型犬,牧羊犬,牧羊犬,46-58厘米,16-41公斤,10-11年,1000-3000
史毕诺犬,意大利硬毛指示猎犬,意大利,意大利,大型犬,枪猎犬,工作犬,61-66厘米,32-37公斤,12-15年,1000-5000
苏联红,莱州红、朱桥红、山东红,莱州、龙口、烟台和全国各地,中国山东,大型犬,工作犬,工作犬,60-80cm,30-45kg,10-11年,1500-8000
美国斯塔福梗,斯塔福犬/大型美国斯塔福梗,英美,英国,中型犬,梗类犬,梗犬,48-50厘米,25-30千克,10-13年,800-2500
爱尔兰水猎犬,爱尔兰水猎鹬犬、爱尔兰水...,爱尔兰,爱尔兰,中型犬,狩猎犬,工作犬,51-58厘米,20-30公斤,10-12年,800-3000
沙皮犬,"沙皮狗,大沥犬",中国,中国广东南海大沥镇一带,中型犬,"伴侣犬,枪猎犬",工作犬,46-51cm,16-20kg,11-12 years,500起
萨摩耶犬,"萨摩,萨摩耶德犬,萨摩耶犬,...",西伯利亚,北俄罗斯和西伯利亚,中型犬,工作犬,工作犬,48-59厘米,23-30公斤,12-15年,500-3000
英国史宾格犬,英国激飞猎犬/英国跳猎犬,英美,英国,中型犬,"枪猎犬,缉毒犬,军犬",工作犬,46-48cm,16-20kg,12-14年,2000-3000
日本狆,日本跳狗,西藏,西藏,小型犬,家庭犬,家庭犬,18-28cm,2-7kg,12-13yesrs,1000-6000
奇努克犬,奇努克犬,美国,美国,大型犬,工作犬,工作犬,53-61厘米,29-41公斤,13－14年,3000-6000
树丛浣熊猎犬,赶上树竞走者猎浣熊犬,美国,美国,中型犬,枪猎犬,工作犬,51-69cm,23-32kg,12-13 years,3000以上
切萨皮克海湾寻回犬,乞沙贝克寻回猎犬，乞沙比...,美国,美国,大型犬,枪猎犬,枪猎犬，工作犬,53-66厘米,25-34公斤,10-12年,1000-5000
苏格兰梗,亚伯丁梗，苏格兰小子,英国,英国苏格兰,小型犬,护卫犬,梗犬,25-28厘米,8-10公斤,10-14年,1000-5000
拳师犬,"拳师、拳狮,德国拳师犬",德国,德国,中型犬,"伴侣犬,工作犬",工作犬,53-63厘米,25-32公斤,12-13年,2000-10000
秋田犬,日本秋田犬/日系秋田犬,日本,日本,中型犬,工作犬,工作犬，家庭犬,66-71厘米,45-55公斤,10-12年,500-10000
葡萄牙水犬,靠德阿古阿犬,欧洲大陆地区,葡萄牙,中型犬,工作犬,工作犬,43-58厘米,16-25公斤,10-14年,2000-5000
普罗特猎犬,布劳特猎犬,美国,美国,大型犬,狩猎犬,工作犬,51-69厘米,20-36公斤,10-12,1000-10000
苏塞克斯猎犬,塞式猎犬,英国,英国,中型犬,枪猎犬,工作犬,38-41cm,约22kg,12-15年,800-3000
纽芬兰犬,纽芬兰犬,加拿大,加拿大,大型犬,工作犬,工作犬  伴侣犬,66-71厘米,50-68公斤,9-15年,1000-8000
牛头梗,牛头梗,英国,英国,中型犬,梗类犬,梗犬,53-56cm,24-28kg,11-13years,1500起
斯塔福郡斗牛梗,"斯达福,斯达福夏牛头梗",英国,英国,中型犬,梗类犬,家庭犬,36-41厘米,11-17公斤,10-16年,800-2500
纽波利顿獒犬,拿波里獒犬,意大利,意大利,大型犬,工作犬,工作犬,65-75cm,50-68kg,9-11 years,1000-10000
诺福克梗,罗福梗,英国,英国,小型犬,梗类犬,梗犬,25-26厘米,5-5.5公斤,12-15年,500-2000
挪威布哈德犬,挪威布哈德犬,挪威,挪威,中型犬,牧羊犬,牧羊犬,41-46厘米,24-26公斤,12－15年,1800-3000元
挪威猎鹿犬,挪威黑猎鹿犬 挪威猎麋犬 ...,挪威,挪威,中型犬,狩猎犬,猎犬,49-52厘米,20-23公斤,12-15年,2500元以上
小型葡萄牙波登可犬,小型葡萄牙波登可犬,葡萄牙,葡萄牙,小型犬,狩猎犬,狩猎犬,20-31cm,4-6kg,12-14years,"10,000以上"
美国斗牛犬,美国斗牛犬,美国,欧洲,大型犬,护卫犬,家庭犬,48－71厘米,30－60千克,11－12年,3000-5000
美国水猎犬,大型美国水猎犬,美国,美国,中型犬,枪猎犬,枪猎犬,36-46厘米,11-20公斤,12-15年,1500-8000
挪威伦德猎犬,挪威海鹰犬,挪威,挪威,中型犬,家庭犬,家庭伴侣犬,31-39厘米,5-6公斤,12年,1000-5000
马犬,"马里努阿犬,比利时马林诺斯...",比利时,比利时,大型犬,"牧羊犬,缉毒犬,军犬",工作犬，牧羊犬,56-66cm,25-30kg,12-15years,8000-10000
美国斗牛梗,斗兽场斗牛梗,美国、欧洲,美国,中型犬,"梗类犬,家庭犬",家庭犬，梗犬,46-56厘米,23-36公斤,10-14年,8000起
帕尔森•罗塞尔梗,杰克罗塞尔梗,英国,英国,小型犬,梗类犬,梗类犬,32-35厘米,6-7千克,12-14年,8000左右
马士提夫獒犬,大獒,英国,英国,大型犬,"工作犬,护卫犬",护卫犬,70-91厘米,68-100公斤,9-11 年,3000-10000
彭布罗克威尔士柯基犬,柯基/彭布罗克柯基,英国,英国,小型犬,牧羊犬,牧羊犬,10-13.5千克,25-30.5厘米,12-15年,1800-10000
迷你牛头梗,迷你牛头梗,多数分布在英格兰,英国,小型犬,梗类犬,梗犬,25-35 厘米,11-15 公斤,10-12年,2600起
马尔济斯犬,马尔他犬或摩天使,亚洲、欧洲,地中海的英国属地－马尔他岛,小型犬,"伴侣犬,玩具犬",玩赏犬,20－26厘米,2.5－4千克,14-16年,2500-5000
美国猎狐犬,美国猎狐犬,美国,美国,大型犬,狩猎犬,狩猎犬，工作犬,53-64厘米,30-34公斤,10—12年,1000-3000
墨西哥无毛犬,佐罗兹英特利犬、标准型墨...,欧洲,墨西哥,小型犬,家庭犬,家庭犬,28-31厘米,4-8公斤,15年及以上,3500-5000
米格鲁猎兔犬,比格犬/比格猎犬,英国,英国,小型犬,狩猎犬,工作犬,33-41cm,8-14kg,12-15years,1000-2000
美国恶霸犬,美国恶霸犬,"欧洲,亚洲,美洲",美国,中型犬,家庭犬,家庭伴侣犬,40-58cm,30-50kg,10-20年,8000-30000
